,Device,,,,,,Base class for register based devices,https://bitbucket.org/uprev/device-regdevice.git
01/30/2020,Device/Displays,Jason Berger,mikrocontroller,,,,Monochromatic display,https://bitbucket.org/uprev/device-ercxxlcd.git
,,,,,,,,https://bitbucket.org/uprev/device-lsm6d.git
01/30/2020,Device/FPGA,Jason Berger,xilinx,XC6SLX9-L1TQG144C,,,FPGA,https://bitbucket.org/uprev/device-spartan6.git
01/30/2020,Device/Memory,Jason Berger,Adesto,AT25SF041-SHD-B,,,Spi flash IC,https://bitbucket.org/uprev/device-spiflash.git
01/30/2020,Device/Memory,Jason Berger,,,"I2C, SPI",,Generic I2C/SPI Eeprom Memory,https://bitbucket.org/uprev/device-eeprom.git
01/30/2020,Device/Displays,Jason Berger,waveshare,,,,3 Color e-ink display,https://bitbucket.org/uprev/device-eink_tri.git
01/30/2020,Device/Power,Jason Berger,Texas Instruments,BQ28Z610DRZT,I2C,,Battery Fuel Gauge,https://bitbucket.org/uprev/device-bq28zxxx.git
,Device/Sensor,,STMicroelectronics,HTS221TR,I2C,,Humidity and Temperature Sensor,https://bitbucket.org/uprev/device-hts221.git
,,,,,,,,https://bitbucket.org/uprev/device-nrf24.git
01/30/2020,Device/Audio,Jason Berger,STMicroelectronics,WM8731CLSEFL,"I2C, SPI",,Aduio codec,https://bitbucket.org/uprev/device-wm8731.git
03/30/2020,Device/Power,Jason Berger,STMicroelectronics,STC3117IJT,I2C,,Gas gauge IC with battery charger control,https://bitbucket.org/uprev/device-stc3117.git
,Device/Sensor,,Sensirion,SHT31-DIS-B2.5KS,I2C,,description,https://bitbucket.org/uprev/device-sht31.git
,Device,,STMicroelectronics,LIS2DH12TR,"I2C,SPI",,"MEMS Digital Output Motion Sensor Ultra Low-Power High Performance 3-Axis ""Femto"" Accelerometer",https://bitbucket.org/uprev/device-lis2dh12.git
,Device/Sensor,,,,,,,https://bitbucket.org/uprev/device-vl53l0x.git
,Device/MotorDriver,,STMicroelectronics,STSPIN220,GPIO,,,https://bitbucket.org/uprev/device-stspin220.git
,,,,,,,,https://bitbucket.org/uprev/device-ssd1306.git
,Device/IO,,UpRev,STM8S003F3,"I2C, SPI",,Driver for STM8 running custom GPIO expander firmware,https://bitbucket.org/uprev/device-stm8-expander.git
05/26/2021,Device/Power,Mark Bayless,STMicroelectronics,STWLC68JRH,I2C,,Wireless charger,https://bitbucket.org/uprev/device-stwlc68.git
,Device/Biometric,Jason Berger,Waveshare,ANV401,UART,,Driver for ANV401 based capactive fingerprint sensor,https://bitbucket.org/uprev/device-anv401.git
